año_mes,Temp Media (ºC),Humedad Media (%),Precipitacion (mm),Perdidas de transporte,Hidraulica,Nuclear,Carbon,Motores diesel,Turbina de gas,Turbina de vapor,Ciclo combinado,Eolica,Solar fotovoltaica,Solar termica,Otras renovables,Cogeneracion,Residuos no renovables,Residuos renovables,Fuel + Gas,Hidroeolica,Generacion total,Demanda,Año,Mes,Mercado diario,Mercado intradiario (subastas MIBEL y continuo),Restricciones tecnicas PDBF,Banda de regulacion secundaria,Reserva de potencia adicional a subir,Restricciones tecnicas en tiempo real,Incumplimiento de energia de balance,Coste desvios,Saldo desvios,Control del factor de potencia,Saldo PO 14.6,Fallo nominacion UPG,Pagos por capacidad,Servicio de interrumpibilidad,Precio,Energia de cierre (MWh),Mecanismo ajuste RD-L 10/2022,MesAño,Mes_Nombre,Mes.Order,Estacion,% Solar,% Convencional,año_mes_dt,% Hidraulica,% Nuclear,% Carbon,% Motores diesel,% Turbina de gas,% Turbina de vapor,% Ciclo combinado,% Solar fotovoltaica,% Eolica,% Cogeneracion,% Residuos no renovables,% Residuos renovables,% Fuel + Gas,% Hidroeolica
2013-02,7.46133046350986,72.46776029662291,1.6966720338130221,,126.82721542857144,157.88105696428573,92.37651782142858,8.921042642857143,2.2031786785714287,6.9559226785714285,78.94788071428572,191.7877652857143,18.84708567857143,7.286037464285714,11.797863142857143,92.63412953571428,5.121454999999999,1.8970802857142857,-0.007391821428571428,,803.4768395,772.6067614642858,2013,2,,,,,,,,,,,,,,,,,,,,,Invierno,2.4394150580369525,57.60159170375804,2013-02-01,15.784800406629698,19.6497334089349,11.497097773087532,1.1103048904818051,0.27420562364217704,0.865727838888308,9.825781756623456,2.3456912199609743,23.86973162848888,11.529159893813503,0.637411652486095,0.23610889479960995,-0.00091997940266347,
2013-03,10.448731614309061,76.73564048833819,3.636039631083919,,147.96681261290323,168.0126202903226,45.89179403225806,8.465337935483872,2.061834709677419,7.022418903225806,56.584639967741936,185.90852170967742,18.281283645161288,4.0442057419354835,11.466178032258066,90.50789603225806,4.770111096774194,1.5009383870967743,-0.005917064516129032,,752.478676032258,720.3219140322581,2013,3,,,,,,,,,,,,,,,,,,,,,Intermedio,2.537932456174393,53.21381016405673,2013-03-01,19.663921028714977,22.327891226929605,6.098750103357179,1.124993731399901,0.27400573270052775,0.9332382600201101,7.519766575460567,2.429475309726596,24.706151500525404,12.027968222235454,0.6339197705809412,0.19946590314174306,-0.0007863431489286979,
2013-04,12.775644223555888,70.05646656036019,1.7325247758376592,,179.66619773333332,148.44878776666667,35.40327286666666,8.008406299999999,2.0594140333333333,6.8527851,45.60316963333333,147.4994152666667,25.4601424,10.029786833333333,12.161618933333333,91.45484086666667,2.9264524833333336,0.8410175833333333,-0.008887566666666668,,716.4064202333334,685.9148890333333,2013,4,,,,,,,,,,,,,,,,,,,,,Intermedio,3.711851544129802,49.67791878137435,2013-04-01,25.078808991524127,20.7213089629092,4.941786096101124,1.1178579747221784,0.28746448596350976,0.9565499284286216,6.3655445212900785,3.5538685417849325,20.588790259393008,12.765776280575466,0.4084905440099474,0.11739392048711876,-0.001240576077441069,
2013-05,14.631478950246036,65.86254394753621,0.9161933534743202,,123.19654593548387,128.34859022580645,67.07791122580645,8.538403451612904,1.8710542258064518,6.315778096774193,61.329338451612905,128.09282206451613,28.158667032258066,16.105419,11.979699225806451,88.89389829032258,3.868854048387097,0.9516864677419355,-0.005498548387096774,,674.7231691935484,663.9143135483871,2013,5,,,,,,,,,,,,,,,,,,,,,Intermedio,4.241310430823513,55.16349354035276,2013-05-01,18.25882844407618,19.02240742365687,9.941545553560907,1.2654676527290871,0.27730694768386244,0.9360547236465915,9.089555724744976,4.173365954798061,18.98450029774684,13.174869687159479,0.5733987248446322,0.14104843455715665,-0.0008149339815422111,
2013-06,19.73823467933492,57.040272709996195,0.6238242844917753,,106.96451870000001,144.08416336666667,88.67658866666667,8.755379799999998,2.0637635,5.8707584666666675,53.81044193333334,129.19283823333333,31.031751366666665,21.577668433333333,11.578544966666668,86.11603356666666,3.7496796166666666,0.9202765500000001,-0.005103366666666666,,694.3873038,676.6824305666667,2013,6,,,,,,,,,,,,,,,,,,,,,Verano,4.5858662741812415,58.09545036078334,2013-06-01,15.404158185877248,20.749826873010672,12.770479555341584,1.2608784394654995,0.29720639889383876,0.8454587856862061,7.749341273790342,4.468939912473478,18.60529959668501,12.401729279236665,0.5399982972250114,0.13253072816335096,-0.0007349452731550168,
2013-07,24.454419771439188,53.27221127938308,0.36880040884593945,,87.86537516129032,165.62039503225805,176.50059538709678,9.50447370967742,3.0091126451612906,6.901450870967742,80.63426622580646,93.09365487096774,31.44385335483871,24.468481,12.47582193548387,83.06315674193549,3.9257807096774195,1.0243410967741935,-0.004952354838709677,,779.5258063870967,742.5932707741935,2013,7,,,,,,,,,,,,,,,,,,,,,Verano,4.234330499932594,71.25761837513961,2013-07-01,11.27164417667247,21.246300465646716,22.642046477605664,1.2192635101752731,0.3860183486558014,0.8853396275556554,10.34401498515177,4.0337155097626525,11.942344192866825,10.655600630710616,0.5036113849613795,0.13140566846936771,-0.0006353035137685279,
2013-08,23.839653953488373,55.53534418604651,0.634031447711202,,69.15543351612904,162.00560506451612,149.0749707419355,9.976663870967743,3.2852170967741934,6.885991161290322,85.43047725806451,111.40943787096775,28.932308064516132,21.350187258064516,11.936095838709678,64.29911980645161,4.230771725806451,1.517008435483871,-0.00461916129032258,,729.484668548387,710.4857948709678,2013,8,,,,,,,,,,,,,,,,,,,,,Verano,4.0721867028700505,68.28907784885848,2013-08-01,9.480039334307397,22.208226169700538,20.435655082180425,1.3676317407493241,0.45034765477820093,0.9439528283703157,11.711072342077312,3.9661296956506273,15.27234809371157,8.814320928005442,0.5799671889232888,0.20795617795540378,-0.0006332088239104903,
2013-09,20.615240708646255,64.52753298025999,0.8939240994028125,,60.8716387,157.90273886666668,158.93080229999998,9.0722864,2.8710530000000003,6.778789366666667,82.99662993333332,107.9720563,25.321165833333335,15.965174266666667,11.634671466666667,80.11256103333334,4.949900666666666,2.0971611666666665,-0.0042081666666666665,,727.4724211333333,697.5968088666667,2013,9,,,,,,,,,,,,,,,,,,,,,Intermedio,3.629770880757144,72.19221002719011,2013-09-01,8.367552766490823,21.705666672651194,21.846986591244352,1.2470969532929144,0.39466142173845864,0.931827677550436,11.40890396972471,3.4807045734992057,14.842082416236444,11.012453353011724,0.6804245113450745,0.28828050462717025,-0.0005784640825436022,
2013-10,16.86281150756585,72.71774184503225,1.4852624696431906,,60.217168096774195,139.78538048387097,135.4024112903226,8.471053129032258,2.8005463548387097,7.187418516129033,91.4735736451613,128.66277951612904,20.476353322580646,9.491675870967741,11.502355483870968,79.80236109677419,4.929485741935483,1.7889500322580645,-0.004135774193548387,,701.9873768064516,677.1550133225807,2013,10,,,,,,,,,,,,,,,,,,,,,Intermedio,3.02387974979463,69.38560377460374,2013-10-01,8.578098422612657,19.912805429607015,19.288439616437014,1.2067244239589587,0.39894540092433345,1.0238672024028022,13.030657910303411,2.916911898862575,18.328360846238308,11.368062123826038,0.7022185732685357,0.25484076941618633,-0.0005891522170047057,
2013-11,9.71290359934382,70.91757303153415,0.8921933802952812,,93.49993943333334,135.24853273333332,89.1306597,8.399355833333333,2.539924366666667,6.8710469,76.5346858,215.27828133333333,17.119168633333334,6.640795366666667,11.961062166666666,82.49520023333334,4.79708965,1.87908205,-0.0045450333333333336,,752.3902791666666,719.1385097333333,2013,11,,,,,,,,,,,,,,,,,,,,,Intermedio,2.380510625092427,56.45810156014149,2013-11-01,12.427053089640143,17.975847971232707,11.8463332352884,1.1163562403592324,0.33758069940508,0.9132290900422375,10.172205558632202,2.275304334380052,28.61258143470056,10.96441601089045,0.6375799612022057,0.24974831573863981,-0.0006040792204768153,
